Code,Description,Type,Package/Line_Level,Gross charge,Discounted cash price,De-identified min contracted rate,De-identified max contracted rate,Derived contracted rate,AETNA-Commercial HMO/POS,AETNA-Commercial PPO/Open Access,AETNA-Medicare Advantage HMO,CONNECTICARE-Commercial HMO/POS,EMBLEMHEALTH-Commercial HMO/POS,EMBLEMHEALTH-Medicare Advantage HMO,EMBLEMHEALTH-Commercial PPO/Open Access,BLUE CROSS-Commercial HMO/POS,BLUE CROSS-Commercial PPO/Open Access,BLUE CROSS-Medicare Advantage HMO,HandM-Commercial HMO/POS,HEALTHFIRST-Commercial HMO/POS,BLUE CROSS-Medicaid HMO,UNITED HEALTHCARE-Commercial HMO/POS,UNITED HEALTHCARE-Medicare Advantage HMO,INTEGRATED HEALTH-Commercial HMO/POS,MOLINA-Medicaid HMO,TUFTS HEALTH-Commercial HMO/POS,UNITED HEALTHCARE-Commercial PPO/Open Access,UNITED HEALTHCARE-Medicaid HMO
10060,SIMPLE OR SINGLE DRAINAGE OF SKIN ABSCESS,Outpatient,Line,575.75,575.75,384.69,786.90,585.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,786.90,N/A,N/A,N/A,384.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10060,SIMPLE OR SINGLE DRAINAGE OF SKIN ABSCESS,Outpatient,Package,575.75,575.75,384.69,786.90,585.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,786.90,N/A,N/A,N/A,384.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10080,SIMPLE DRAINAGE OF CYST OF TAILBONE,Outpatient,Line,548.00,548,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10080,SIMPLE DRAINAGE OF CYST OF TAILBONE,Outpatient,Package,7675.00,7675,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10120,"REMOVAL OF FOREIGN BODY FROM TISSUE, ACCESSED BENEATH THE SKIN, SIMPLE",Outpatient,Line,487.00,487,371.66,371.66,371.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,371.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10120,"REMOVAL OF FOREIGN BODY FROM TISSUE, ACCESSED BENEATH THE SKIN, SIMPLE",Outpatient,Package,1865.00,1865,371.66,371.66,371.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,371.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10140,DRAINAGE OF BLOOD OR FLUID ACCUMULATION,Outpatient,Line,3000.30,3000.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10140,DRAINAGE OF BLOOD OR FLUID ACCUMULATION,Outpatient,Package,6691.24,6691.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11042,"REMOVAL OF SKIN AND TISSUE, 20.0 SQ CM OR LESS",Outpatient,Line,1670.71,1670.71,715.71,768.31,742.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,768.31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,715.71
11042,"REMOVAL OF SKIN AND TISSUE, 20.0 SQ CM OR LESS",Outpatient,Package,1670.71,1670.71,715.71,768.31,742.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,768.31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,715.71
