Code,Description,Type,Package/Line_Level,Gross charge,Discounted cash price,De-identified min contracted rate,De-identified max contracted rate,Derived contracted rate,1199-Commercial other,Aetna-Medicare Advantage HMO,Aetna-Commercial HMO/POS,Aetna-Commercial PPO/Open Access,Aetna-Commercial other,Empire Health-Commercial other,Empire Health-Commercial PPO/Open Access,BlueCross BlueShield-Commercial other,Beacon Health-Commercial other,Carelon Health-Commercial other,Cigna-Commercial PPO/Open Access,Cigna-Commercial other,Cigna-Commercial HMO/POS,EH Facet-Commercial other,EmblemHealth-Commercial PPO/Open Access,EmblemHealth-Commercial other,EmblemHealth-Commercial HMO/POS,EmblemHealth-Medicaid HMO,EmblemHealth-Medicare Advantage HMO,Empire Health-Commercial HMO/POS,Empire Health-Medicare Advantage HMO,Empire Health-Medicaid HMO,Evernorth-Commercial other,Fidelis-Commercial other,Fidelis-Medicare Advantage HMO,Fidelis-Medicaid HMO,GHI-Commercial other,HealthFirst-Commercial other,HealthFirst-Medicare Advantage HMO,HealthFirst-Medicaid HMO,HealthPlus HP-Medicaid HMO,HealthPlus HP-Commercial other,HealthPlus HP-Medicare Advantage HMO,Humana-Commercial other,Humana-Commercial HMO/POS,Humana-Commercial PPO/Open Access,Meritain Health-Commercial other,Molina-Commercial other,Optum-Commercial other,Oxford-Commercial other,Oxford-Commercial HMO/POS,Tricare-Commercial other,United Healthcare-Commercial other,United Healthcare-Medicare Advantage HMO,United Healthcare-Commercial HMO/POS,United Healthcare-Medicaid HMO,United Healthcare-Commercial PPO/Open Access,Veteran Family-Commercial other
10004,"FINE NEEDLE ASPIRATION BIOPSY, EACH ADDITIONAL GROWTH",Outpatient,Line,718.67,718.67,2155.5,2155.5,2155.5,N/A,N/A,N/A,N/A,N/A,2155.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10005,"FINE NEEDLE ASPIRATION BIOPSY USING ULTRASOUND GUIDANCE, FIRST GROWTH",Outpatient,Line,2061.25,2061.25,87.02,4782,2308.44,2411,714.86,4707,N/A,N/A,3594.71,4101,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,729.16,N/A,N/A,N/A,3485,N/A,N/A,N/A,N/A,N/A,615.37,N/A,87.02,N/A,N/A,278.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4782,N/A,N/A,3845.25,N/A,N/A,658.94,N/A,N/A
10005,"FINE NEEDLE ASPIRATION BIOPSY USING ULTRASOUND GUIDANCE, FIRST GROWTH",Outpatient,Package,2061.25,2061.25,87.02,4782,2308.44,2411,714.86,4707,N/A,N/A,3594.71,4101,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,729.16,N/A,N/A,N/A,3485,N/A,N/A,N/A,N/A,N/A,615.37,N/A,87.02,N/A,N/A,278.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4782,N/A,N/A,3845.25,N/A,N/A,658.94,N/A,N/A
10006,"FINE NEEDLE ASPIRATION BIOPSY USING ULTRASOUND GUIDANCE, EACH ADDITIONAL GROWTH",Outpatient,Line,728.54,728.54,58.55,1761.25,909.9,N/A,N/A,N/A,N/A,N/A,1761.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,58.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10009,"FINE NEEDLE ASPIRATION BIOPSY OF GROWTH USING CT GUIDANCE, FIRST GROWTH",Outpatient,Line,2823.01,2823.01,446.28,6017.59,4219.31,4592,N/A,N/A,4822,N/A,4311,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,446.28,6017.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5127,N/A,N/A,N/A,N/A,N/A
10009,"FINE NEEDLE ASPIRATION BIOPSY OF GROWTH USING CT GUIDANCE, FIRST GROWTH",Outpatient,Package,2823.01,2823.01,446.28,6017.59,4219.31,4592,N/A,N/A,4822,N/A,4311,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,446.28,6017.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5127,N/A,N/A,N/A,N/A,N/A
10010,"FINE NEEDLE ASPIRATION BIOPSY OF GROWTH USING CT GUIDANCE, EACH ADDITIONAL GROWTH",Outpatient,Line,588,588,2155.5,2155.5,2155.5,N/A,N/A,N/A,N/A,N/A,2155.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10021,"FINE NEEDLE ASPIRATION BIOPSY, FIRST GROWTH",Outpatient,Line,1566.78,1566.78,275.46,2265.5,1270.48,N/A,N/A,N/A,N/A,N/A,2265.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,275.46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10021,"FINE NEEDLE ASPIRATION BIOPSY, FIRST GROWTH",Outpatient,Package,1566.78,1566.78,275.46,2265.5,1270.48,N/A,N/A,N/A,N/A,N/A,2265.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,275.46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10030,DRAINAGE OF FLUID COLLECTION IN SOFT TISSUE USING IMAGING GUIDANCE,Outpatient,Line,2082.05,2082.05,152.66,4101,1663.85,N/A,N/A,N/A,N/A,N/A,4101,2316.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1016.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,732.87,N/A,152.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10030,DRAINAGE OF FLUID COLLECTION IN SOFT TISSUE USING IMAGING GUIDANCE,Outpatient,Package,2212.17,2212.17,152.66,4101,1663.85,N/A,N/A,N/A,N/A,N/A,4101,2316.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1016.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,732.87,N/A,152.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10035,"PLACEMENT OF SOFT TISSUE LOCATING DEVICE USING X-RAY, FIRST GROWTH",Outpatient,Line,2919.67,2919.67,98.09,5127,2981.35,2411,754.95,N/A,3616.5,N/A,2557.9,2155.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4514.56,N/A,N/A,N/A,3756,N/A,N/A,N/A,N/A,N/A,N/A,98.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4822,N/A,N/A,N/A,N/A,N/A,5127,N/A,N/A,N/A,N/A,N/A
10035,"PLACEMENT OF SOFT TISSUE LOCATING DEVICE USING X-RAY, FIRST GROWTH",Outpatient,Package,3697.05,3697.05,98.09,5127,2981.35,2411,754.95,N/A,3616.5,N/A,2557.9,2155.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4514.56,N/A,N/A,N/A,3756,N/A,N/A,N/A,N/A,N/A,N/A,98.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4822,N/A,N/A,N/A,N/A,N/A,5127,N/A,N/A,N/A,N/A,N/A
10060,SIMPLE OR SINGLE DRAINAGE OF SKIN ABSCESS,Outpatient,Line,968.07,968.07,100,4101,910.29,2101.5,214.16,2153,2153,N/A,4101,135.01,N/A,N/A,N/A,478.86,N/A,N/A,N/A,N/A,496.3,1920.72,N/A,N/A,100,206.29,N/A,N/A,414.98,N/A,376.82,N/A,401.64,N/A,N/A,350.43,N/A,206.29,N/A,N/A,206.29,N/A,380.71,206.29,2529,N/A,206.29,1204.17,N/A,N/A,393.96,N/A,N/A
10060,SIMPLE OR SINGLE DRAINAGE OF SKIN ABSCESS,Outpatient,Package,968.07,968.07,100,4101,910.29,2101.5,214.16,2153,2153,N/A,4101,135.01,N/A,N/A,N/A,478.86,N/A,N/A,N/A,N/A,496.3,1920.72,N/A,N/A,100,206.29,N/A,N/A,414.98,N/A,376.82,N/A,401.64,N/A,N/A,350.43,N/A,206.29,N/A,N/A,206.29,N/A,380.71,206.29,2529,N/A,206.29,1204.17,N/A,N/A,393.96,N/A,N/A
10061,COMPLICATED OR MULTIPLE DRAINAGE OF SKIN ABSCESS,Outpatient,Line,1457.1,1457.1,339.5,397.05,368.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,397.05,N/A,339.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10061,COMPLICATED OR MULTIPLE DRAINAGE OF SKIN ABSCESS,Outpatient,Package,1457.1,1457.1,339.5,397.05,368.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,397.05,N/A,339.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10080,SIMPLE DRAINAGE OF CYST OF TAILBONE,Outpatient,Line,1588.54,1588.54,100,2683,651.08,N/A,N/A,N/A,N/A,N/A,N/A,150,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,366.76,N/A,N/A,N/A,100,N/A,N/A,N/A,414.98,N/A,379.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,462.7,N/A,2683,N/A,N/A,922,N/A,N/A,380.71,N/A,N/A
10080,SIMPLE DRAINAGE OF CYST OF TAILBONE,Outpatient,Package,3876.06,3876.06,100,2683,651.08,N/A,N/A,N/A,N/A,N/A,N/A,150,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,366.76,N/A,N/A,N/A,100,N/A,N/A,N/A,414.98,N/A,379.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,462.7,N/A,2683,N/A,N/A,922,N/A,N/A,380.71,N/A,N/A
10081,COMPLICATED DRAINAGE OF CYST OF TAILBONE,Outpatient,Line,5716.5,5716.5,693.29,3756,2224.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3756,N/A,N/A,N/A,N/A,N/A,693.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10081,COMPLICATED DRAINAGE OF CYST OF TAILBONE,Outpatient,Package,6115.17,6115.17,693.29,3756,2224.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3756,N/A,N/A,N/A,N/A,N/A,693.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10120,"REMOVAL OF FOREIGN BODY FROM TISSUE, ACCESSED BENEATH THE SKIN, SIMPLE",Outpatient,Line,1727.16,1727.16,366.76,4782,1636.28,N/A,N/A,2153,N/A,N/A,4241,818.5,N/A,N/A,N/A,500.51,N/A,N/A,N/A,N/A,366.76,1752,N/A,N/A,N/A,N/A,N/A,N/A,414.98,N/A,380.71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4782,N/A,N/A,3448.13,397.05,N/A,380.71,N/A,N/A
10120,"REMOVAL OF FOREIGN BODY FROM TISSUE, ACCESSED BENEATH THE SKIN, SIMPLE",Outpatient,Package,1727.16,1727.16,366.76,4782,1636.28,N/A,N/A,2153,N/A,N/A,4241,818.5,N/A,N/A,N/A,500.51,N/A,N/A,N/A,N/A,366.76,1752,N/A,N/A,N/A,N/A,N/A,N/A,414.98,N/A,380.71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4782,N/A,N/A,3448.13,397.05,N/A,380.71,N/A,N/A
10121,"REMOVAL OF FOREIGN BODY FROM TISSUE, ACCESSED BENEATH THE SKIN, COMPLEX",Outpatient,Line,8447.67,8447.67,5494.79,5494.79,5494.79,N/A,N/A,N/A,N/A,N/A,N/A,5494.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
